Name,Funding,Department
Career and Technical Education: Grants to Native Americans and Alaska Natives ,15000000,Department of Education
Centers for International Business Education ,5000000,Department of Education
Charter Schools ,452000000,Department of Education
Comprehensive Literacy Development ,202000000,Department of Education
Consolidated Grant to the Outlying Areas ,106000000,Department of Education
Credit Enhancement for Charter School Facilities ,78000000,Department of Education
DC Opportunity Scholarship Program ,17000000,Department of Education
Directed Grants and Awards,0,Department of Education
Disability Innovation Fund (DIF) ,281000000,Department of Education
Education Evaluation and Technical Assistance Grants,0,Department of Education
Education for Homeless Children and Youth ,129000000,Department of Education
Education Innovation and Research (formerly Investing in Innovation (i3) Fund) ,277000000,Department of Education
"Education Research, Development and Dissemination ",233000000,Department of Education
Education Stabilization Fund,0,Department of Education
English Language Acquisition State Grants ,823000000,Department of Education
Federal Direct Student Loans ,164800000000,Department of Education
Federal Pell Grant Program ,36600000000,Department of Education
Child Care Access Means Parents in School ,75000000,Department of Education
Civil Rights Training and Advisory Services (also known as Equity Assistance Centers) ,6000000,Department of Education
Competitive Grants for State Assessments ,30000000,Department of Education
Comprehensive Centers ,50000000,Department of Education
Federal Real Property Assistance Program,0,Department of Education
Federal Supplemental Educational Opportunity Grants ,1300000000,Department of Education
Federal Work-Study Program ,1200000000,Department of Education
Fund for the Improvement of Postsecondary Education ,456000000,Department of Education
Gaining Early Awareness and Readiness for Undergraduate Programs ,395000000,Department of Education
Graduate Assistance in Areas of National Need ,23000000,Department of Education
Grants for State Assessments and Related Activities ,369000000,Department of Education
Higher Education Institutional Aid ,1200000000,Department of Education
Impact Aid ,1600000000,Department of Education
Impact Aid Facilities Maintenance,0,Department of Education
Indian Education Grants to Local Educational Agencies ,110000000,Department of Education
"Indian Education National Activities, State Tribal Education Partnership (STEP) and Native American Language (NAL) ",11000000,Department of Education
Indian Education: Special Programs for Indian Children ,72000000,Department of Education
Innovative Approaches to Literacy; Promise Neighborhoods; Full-Service Community Schools; and Congressionally Directed Spending for Elementary and Secondary Education Community Projects ,355000000,Department of Education
Innovative Rehabilitation Training ,543000,Department of Education
International Research and Studies ,2000000,Department of Education
Javits Gifted and Talented Students Education ,17000000,Department of Education
Language Resource Centers ,3000000,Department of Education
Magnet Schools Assistance ,138000000,Department of Education
Migrant Education College Assistance Migrant Program ,28000000,Department of Education
Migrant Education Coordination Program ,3000000,Department of Education
Migrant Education High School Equivalency Program ,24000000,Department of Education
Migrant Education State Grant Program ,366000000,Department of Education
Minority Science and Engineering Improvement ,16000000,Department of Education
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program ,61000000,Department of Education
Native Hawaiian Career and Technical Education ,4000000,Department of Education
Native Hawaiian Education ,46000000,Department of Education
Overseas Programs Special Bilateral Projects ,750000,Department of Education
Overseas Programs: Doctoral Dissertation Research Abroad ,3000000,Department of Education
Overseas Programs: Faculty Research Abroad,0,Department of Education
Overseas Programs: Group Projects Abroad ,5000000,Department of Education
Postsecondary Education Scholarships for Veterans Dependents,0,Department of Education
Program of Protection and Advocacy of Individual Rights ,20000000,Department of Education
Randolph-Sheppard Financial Relief and Restoration Payments,0,Department of Education
Ready-to-Learn Television ,31000000,Department of Education
Rehabilitation Long-Term Training ,15000000,Department of Education
Rehabilitation Services Client Assistance Program ,14000000,Department of Education
Rehabilitation Services Demonstration and Training Programs ,6000000,Department of Education
Rehabilitation Services Independent Living Services for Older Individuals Who are Blind ,33000000,Department of Education
Rehabilitation Services Vocational Rehabilitation Grants to States ,3700000000,Department of Education
Rehabilitation Short-Term Training ,308000,Department of Education
Rehabilitation Training Technical Assistance Centers ,7000000,Department of Education
Research in Special Education ,70000000,Department of Education
Rural Education ,220000000,Department of Education
School Safely National Activities ,156000000,Department of Education
"Special Education Educational Technology Media, and Materials for Individuals with Disabilities ",31000000,Department of Education
Special Education Grants for Infants and Families ,540000000,Department of Education
Special Education Grants to States ,14200000000,Department of Education
Special Education Parent Information Centers ,33000000,Department of Education
Special Education Preschool Grants ,420000000,Department of Education
Special Education Studies and Evaluations ,12000000,Department of Education
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities ,39000000,Department of Education
Special Education Technical Assistance on State Data Collection ,27000000,Department of Education
Special Education: Personnel Development to Improve Services and Results for Children with Disabilities ,115000000,Department of Education
Special Education: Special Olympics Education Programs ,36000000,Department of Education
Special Education: State Personnel Development ,39000000,Department of Education
Statewide Family Engagement Centers ,20000000,Department of Education
Statewide Longitudinal Data Systems ,49000000,Department of Education
Strengthening Minority-Serving Institutions ,43000000,Department of Education
Student Support and Academic Enrichment Program ,1300000000,Department of Education
Supported Employment Services for Individuals with the Most Signifcant Disabilities ,23000000,Department of Education
Supporting Effective Educator Development Program ,90000000,Department of Education
Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants) ,2200000000,Department of Education
Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund) ,59000000,Department of Education
Teacher Education Assistance for College and Higher Education Grants (TEACH Grants) ,72000000,Department of Education
Teacher Quality Partnership Grants ,69000000,Department of Education
Title I Grants to Local Educational Agencies ,18400000000,Department of Education
Title I State Agency Program for Neglected and Delinquent Children and Youth ,49000000,Department of Education
Traditionally Underserved Populations ,910000,Department of Education
Training Interpreters for Individuals Who Are Deaf and Individuals Who Are Deaf-Blind ,3000000,Department of Education
Transition Programs for Students with Intellectual Disabilities into Higher Education ,14000000,Department of Education
Tribally Controlled Postsecondary Career and Technical Institutions ,12000000,Department of Education
TRIO Educational Opportunity Centers ,71000000,Department of Education
TRIO McNair Post-Baccalaureate Achievement ,60000000,Department of Education
TRIO Staff Training Program ,4000000,Department of Education
TRIO Student Support Services ,366000000,Department of Education
TRIO Talent Search ,202000000,Department of Education
TRIO Upward Bound ,482000000,Department of Education
Twenty-First Century Community Learning Centers ,1300000000,Department of Education
Undergraduate International Studies and Foreign Language Programs ,3000000,Department of Education
"Advanced Research Projects Agency, Energy ",393000000,Department of Energy
Artifcial Intelligence and Technology Offce Financial Assistance Program,0,Department of Energy
Clean Energy Demonstrations ,464000000,Department of Energy
Conservation Research and Development ,603000000,Department of Energy
"Cybersecurity, Energy Security & Emergency Response (CESER) ",80000000,Department of Energy
Defense Nuclear Nonproliferation Research ,20000000,Department of Energy
Dept. of Energy Oak Ridge Reservation Environmental Surveillance and Monitoring ,187000,Department of Energy
"Electricity Research, Development and Analysis ",53000000,Department of Energy
Energy Effciency and Conservation Block Grant Program (EECBG) ,182000000,Department of Energy
"Energy Effciency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance ",172000000,Department of Energy
Energy Policy and Systems Analysis ,670000,Department of Energy
"Environmental Monitoring, Independent Research, Technical Analysis ",5000000,Department of Energy
Environmental Remediation and Waste Processing and Disposal ,21000000,Department of Energy
Epidemiology and Other Health Studies Financial Assistance Program ,15000000,Department of Energy
Federal Loan Guarantees for Innovative Energy Technologies ,11100000000,Department of Energy
Fossil Energy Research and Development ,1100000000,Department of Energy
Global Material Security ,6000000,Department of Energy
Glovebox Manufacturing Expansion Initiative ,61000000,Department of Energy
Grid Deployment Offce: Other Direct Funding Mechanisms/Identifed Transactions ,1000000000,Department of Energy
Grid Infrastructure Deployment and Resilience ,4300000000,Department of Energy
Inertial Confnement Fusion Program University Assistance,0,Department of Energy
Law Enforcement Support of Pantex Plant ,400000,Department of Energy
"Legally directed Academic Programs, Workforce Development and Community Support ",5000000,Department of Energy
Long-Term Surveillance and Maintenance ,8000000,Department of Energy
"Los Alamos National Laboratory, Fire Protection ",56000000,Department of Energy
Manufacturing and Energy Supply Chain Demonstrations and Commercial Applications ,642000000,Department of Energy
Minority Economic Impact ,27000000,Department of Energy
Molybdenum-99 Program ,32000000,Department of Energy
National Laboratory Jobs Apprenticeship for Complete and Committed Employment for Specialized Skills,0,Department of Energy
National Nuclear Security Administration (NNSA) Minority Serving Institutions (MSI) Program ,21000000,Department of Energy
Nonproliferation and Arms Control,0,Department of Energy
Nuclear Counterterrorism and Incident Response Program ,91000,Department of Energy
"Nuclear Energy Research, Development and Demonstration ",532000000,Department of Energy
Nuclear Legacy Cleanup Program,0,Department of Energy
Nye County Sheriffs Offce Law Enforcement Services,0,Department of Energy
Offce of Science Financial Assistance Program ,1500000000,Department of Energy
"Offce of Technology Transitions (OTT) Technology Deployment, Demonstration and Commercialization ",107000000,Department of Energy
Predictive Science Academic Alliance Program ,22000000,Department of Energy
Remedial Action and Waste Management ,9000000,Department of Energy
Renewable Energy Research and Development ,1100000000,Department of Energy
Savannah River Site Environmental Monitoring/Cleanup ,69000000,Department of Energy
State Energy Program ,2800000000,Department of Energy
State Energy Program Special Projects,0,Department of Energy
State Heating Oil and Propane Program ,183000,Department of Energy
Stewardship Science Grant Program ,138000000,Department of Energy
Student Driven Research and Long-Term Monitoring of Selected Populations in the Valley and Ridge Eco-region ,130000,Department of Energy
"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions ",3000000,Department of Energy
University Coal Research,0,Department of Energy
Weatherization Assistance for Low-Income Persons ,241000000,Department of Energy
"The White House has said that Medicare, Medicaid and Head Start were all exempt from the funding freeze. But Medicaid and Head Start payment portals were deactivated Tuesday anyway. 1332 State Innovation Waivers",13700000000,Department of Health and Human Services
"21st Century Cures Act, Beau Biden Cancer Moonshot",0,Department of Health and Human Services
"21st Century Cures Act, Precision Medicine Initiative ",209000000,Department of Health and Human Services
21st Century Cures Act: Brain Research Through Advancing Innovative Neurotechnologies ,172000000,Department of Health and Human Services
21st Century Cures Act: Regenerative Medicine Initiative ,5000000,Department of Health and Human Services
"A Comprehensive Approach to Good Health and Wellness in Indian County, fnanced solely by Prevention and Public Health ",16000000,Department of Health and Human Services
ACL Assistive Technology,0,Department of Health and Human Services
ACL Assistive Technology State Grants for Protection and Advocacy,0,Department of Health and Human Services
ACL Centers for Independent Living,0,Department of Health and Human Services
ACL Independent Living State Grants,0,Department of Health and Human Services
"ACL National Institute on Disability, Independent Living and Rehabilitation Research",0,Department of Health and Human Services
Acquired Immunodefciency Syndrome (AIDS) Activity,2000000,Department of Health and Human Services
"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",0,Department of Health and Human Services
Adoption and Legal Guardianship Incentive Payments Program ,61000000,Department of Health and Human Services
Adoption Assistance ,4000000000,Department of Health and Human Services
Adoption Opportunities ,33000000,Department of Health and Human Services
Advanced Nursing Education Workforce Grant Program ,86000000,Department of Health and Human Services
Advanced Research Projects Agency for Health (ARPA-H) ,983000000,Department of Health and Human Services
Advancing System Improvements for Key Issues in Womens Health ,15000000,Department of Health and Human Services
Affordable Care Act (ACA) Personal Responsibility Education Program ,68000000,Department of Health and Human Services
Affordable Care Act Program for Early Detection of Certain Medical Conditions Related to Environmental Health Hazards ,3000000,Department of Health and Human Services
Aging Research ,3900000000,Department of Health and Human Services
Alcohol Research Programs ,454000000,Department of Health and Human Services
Allergy and Infectious Diseases Research ,4300000000,Department of Health and Human Services
Alzheimers Disease Demonstration Grants to States,0,Department of Health and Human Services
Alzheimers Disease Initiative: Specialized Supportive Services Project (ADI-SSS) through Prevention and Public Health Funds (PPHF),0,Department of Health and Human Services
Alzheimers Disease Program Initiative (ADPI) ,0,Department of Health and Human Services
"Analyses, Research and Studies to Address the Impact of CMS Programs on American Indian/Alaska Native (AI/AN) Benefciaries and the Health Care System Serving These Benefciaries ",2000000,Department of Health and Human Services
Antimicrobial Resistance Surveillance in Retail Food Specimens,0,Department of Health and Human Services
Area Health Education Centers ,44000000,Department of Health and Human Services
ARRA Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,0,Department of Health and Human Services
"Arthritis, Musculoskeletal and Skin Diseases Research ",546000000,Department of Health and Human Services
ASPR Science Preparedness and Response Grants,0,Department of Health and Human Services
Assistance for Torture Victims ,18000000,Department of Health and Human Services
Assistance Programs for Chronic Disease Prevention and Control ,28000000,Department of Health and Human Services
Assisted Outpatient Treatment,0,Department of Health and Human Services
Assistive Technology Alternative Financing Program,0,Department of Health and Human Services
"Autism and Other Developmental Disabilities, Surveillance, Research and Prevention ",8000000,Department of Health and Human Services
"Autism Collaboration, Accountability, Research, Education and Support ",51000000,Department of Health and Human Services
Basic Center Grant ,67000000,Department of Health and Human Services
Basic Health Program (Affordable Care Act) ,3300000000,Department of Health and Human Services
Behavioral Risk Factor Surveillance System ,27000000,Department of Health and Human Services
"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development ",50000,Department of Health and Human Services
Biomedical Research and Research Training ,3100000000,Department of Health and Human Services
"Birth Defects and Developmental Disabilities, Prevention and Surveillance ",63000000,Department of Health and Human Services
Block Grants for Community Mental Health Services,0,Department of Health and Human Services
Block Grants for Prevention and Treatment of Substance Abuse,0,Department of Health and Human Services
Blood Diseases and Resources Research ,427000000,Department of Health and Human Services
"Blood Disorder Program: Prevention, Surveillance and Research ",11000000,Department of Health and Human Services
Cancer Biology Research ,891000000,Department of Health and Human Services
Cancer Cause and Prevention Research ,725000000,Department of Health and Human Services
Cancer Centers Support Grants ,604000000,Department of Health and Human Services
Cancer Control,0,Department of Health and Human Services
Cancer Detection and Diagnosis Research ,468000000,Department of Health and Human Services
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations ",223000000,Department of Health and Human Services
Cancer Research Manpower ,236000000,Department of Health and Human Services
Cancer Treatment Research ,872000000,Department of Health and Human Services
Capacity Building Assistance (CBA) for High-Impact HIV Prevention ,6000000,Department of Health and Human Services
CARA Act: Comprehensive Addiction and Recovery Act of 2016 ,3000000,Department of Health and Human Services
Cardiovascular Diseases Research ,1800000000,Department of Health and Human Services
CDC Partnership: Strengthening Public Health Laboratories ,25000000,Department of Health and Human Services
CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions ,13000000,Department of Health and Human Services
Cell and Gene Therapy (CGT) Access Model,0,Department of Health and Human Services
Centers for Disease Control and Prevention Collaboration with Academia to Strengthen Public Health ,699000000,Department of Health and Human Services
Centers for Disease Control and Prevention Investigations and Technical Assistance ,5000000,Department of Health and Human Services
"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations ",1000000,Department of Health and Human Services
Centers for Research and Demonstration for Health Promotion and Disease Prevention ,32000000,Department of Health and Human Services
Centers of Excellence ,26000000,Department of Health and Human Services
Certifed Community Behavioral Health Clinic Expansion Grants ,386000000,Department of Health and Human Services
Chafee Education and Training Vouchers Program (ETV) ,49000000,Department of Health and Human Services
Child Abuse and Neglect Discretionary Activities ,15000000,Department of Health and Human Services
Child Abuse and Neglect State Grants ,103000000,Department of Health and Human Services
Child Care and Development Block Grant ,8600000000,Department of Health and Human Services
Child Care Disaster Relief ,88000000,Department of Health and Human Services
Child Care Mandatory and Matching Funds of the Child Care and Development Fund ,3600000000,Department of Health and Human Services
Child Health and Human Development Extramural Research ,1400000000,Department of Health and Human Services
Child Support Services ,4500000000,Department of Health and Human Services
Child Support Services Research ,4000000,Department of Health and Human Services
Child Welfare Research Training or Demonstration ,15000000,Department of Health and Human Services
"Childhood Lead Poisoning Prevention Projects, State and Local Childhood Lead Poisoning Prevention and Surveillance of Blood Lead Levels in Children ",37000000,Department of Health and Human Services
Childrens Health Insurance Program ,20700000000,Department of Health and Human Services
Childrens Hospitals Graduate Medical Education Payment Program ,369000000,Department of Health and Human Services
Childrens Justice Grants to States ,17000000,Department of Health and Human Services
"Chronic Diseases: Research, Control and Prevention ",19000000,Department of Health and Human Services
Closing the Gap Between Standards Development and Implementation,0,Department of Health and Human Services
Coal Miners Respiratory Impairment Treatment Clinics and Services ,12000000,Department of Health and Human Services
Collaboration With the World Health Organization and its Regional Offces for Global Health Security and the International Health Regulations (IHR 2005) ,68000000,Department of Health and Human Services
Community Health Workers for Public Health Response and Resilient Communities,0,Department of Health and Human Services
Community Programs to Improve Minority Health ,44000000,Department of Health and Human Services
Community Services Block Grant ,764000000,Department of Health and Human Services
Community Services Block Grant Discretionary Awards ,29000000,Department of Health and Human Services
Community-Based Child Abuse Prevention Grants ,70000000,Department of Health and Human Services
Complex Humanitarian Emergency and War-Related Injury Public Health Activities ,988000,Department of Health and Human Services
Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances (SED) ,110000000,Department of Health and Human Services
Congressional Directives ,1000000000,Department of Health and Human Services
Construction Support ,80000000,Department of Health and Human Services
Cooperative Agreement to Support Navigators in Federally Facilitated Exchanges ,98000000,Department of Health and Human Services
Cooperative Agreements for Diabetes Control Programs ,90000000,Department of Health and Human Services
Cooperative Agreements to Promote Adolescent Health through School-Based HIV/STD Prevention and School-Based Surveillance ,13000000,Department of Health and Human Services
Cooperative Agreements to States/Territories for the Coordination and Development of Primary Care Offces ,14000000,Department of Health and Human Services
Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs ,49000000,Department of Health and Human Services
"Coordinated Services and Access to Research for Women, Infants, Children and Youth ",72000000,Department of Health and Human Services
Demonstration Grants for Domestic Victims of Human Traffcking ,8000000,Department of Health and Human Services
Demonstration Projects for Indian Health ,24000000,Department of Health and Human Services
Development and Coordination of Rural Health Services ,4000000,Department of Health and Human Services
Developmental Disabilities Basic Support and Advocacy Grants,0,Department of Health and Human Services
Developmental Disabilities Projects of National Signifcance,0,Department of Health and Human Services
"Diabetes, Digestive, and Kidney Diseases Extramural Research ",2000000000,Department of Health and Human Services
Dietary Supplement Research Program ,8000000,Department of Health and Human Services
Disabilities Prevention ,31000000,Department of Health and Human Services
Disadvantaged Health Professions Faculty Loan Repayment Program (FLRP) ,2000000,Department of Health and Human Services
Discovery and Applied Research for Technological Innovations to Improve Human Health ,384000000,Department of Health and Human Services
Drug Use and Addiction Research Programs ,1300000000,Department of Health and Human Services
Drug-Free Communities Support Program Grants ,94000000,Department of Health and Human Services
Early Hearing Detection and Intervention ,17000000,Department of Health and Human Services
Early Hearing Detection and Intervention Information System (EHDI-IS) Surveillance Program ,6000000,Department of Health and Human Services
Ebola Health Care Preparedness and Response for Select Cities with Enhanced Airport Entrance Screenings from Affected Countries in West Africa,0,Department of Health and Human Services
Ebola Healthcare Preparedness and Response for Select Cities with Enhanced Airport Entrance Screenings from Affected Countries in West Africa,0,Department of Health and Human Services
"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth ",19000000,Department of Health and Human Services
EHB-Benchmark Plan Modernization Grant for States with a Federally Facilitated Exchange,0,Department of Health and Human Services
Elder Abuse Prevention Interventions Program,0,Department of Health and Human Services
"Elder Justice Act, Adult Protective Services",0,Department of Health and Human Services
Emergency Grants to Address Mental and Substance Use Disorders During Covid-19,0,Department of Health and Human Services
Emergency Medical Services for Children ,21000000,Department of Health and Human Services
Emergency System for Advance Registration of Volunteer Health Professionals,0,Department of Health and Human Services
Emerging Infections Programs ,125000000,Department of Health and Human Services
Emerging Infections Sentinel Networks ,3000000,Department of Health and Human Services
"Empowering Older Adults and Adults With Disabilities through Chronic Disease Self-Management Education Programs, fnanced by Prevention and Public Health Funds (PPHF)",0,Department of Health and Human Services
"Ending the HIV Epidemic: A Plan for America, Ryan White HIV/AIDS Program Parts A and B ",140000000,Department of Health and Human Services
Engaging State and Local Emergency Management Agencies to Improve Ability to Prepare for and Respond to All Hazards Events ,200000,Department of Health and Human Services
Enhance Safety of Children Affected by Substance Abuse ,11000000,Department of Health and Human Services
Enhance the Ability of Emergency Medical Services (EMS) to transport patients with highly infectious diseases (HID),0,Department of Health and Human Services
Enhancing the Logical Observation Identifers Names and Codes (LOINC ) Standard to Meet U.S. Interoperability Needs,0,Department of Health and Human Services
Environmental Health ,446000000,Department of Health and Human Services
Environmental Public Health and Emergency Response ,56000000,Department of Health and Human Services
Epidemiologic Research Studies of Acquired Immunodefciency Syndrome (AIDS) and Human Immunodefciency Virus (HIV) Infection in Selected Population Groups ,2000000,Department of Health and Human Services
Epidemiology and Laboratory Capacity for Infectious Diseases (ELC) ,688000000,Department of Health and Human Services
Epidemiology Program ,41000000,Department of Health and Human Services
Every Student Succeeds Act/Preschool Development Grants ,306000000,Department of Health and Human Services
Evidence-Based Falls Prevention Programs Financed Solely by Prevention and Public Health Funds (PPHF),0,Department of Health and Human Services
Expanding Access to Womens Health Grant ,9000000,Department of Health and Human Services
Extramural Research Programs in the Neurosciences and Neurological Disorders ,2000000000,Department of Health and Human Services
Extramural Research Restoration Program: Hurricanes Fiona and Ian,0,Department of Health and Human Services
Family Smoking Prevention and Tobacco Control Act Regulatory Research ,59000000,Department of Health and Human Services
Family to Family Health Information Centers ,6000000,Department of Health and Human Services
Family Violence Prevention and Services/ Sexual Assault/Rape Crisis Services and Supports ,2000000,Department of Health and Human Services
Family Violence Prevention and Services/Culturally Specifc Domestic Violence and Sexual Violence Services ,8000000,Department of Health and Human Services
Family Violence Prevention and Services/Discretionary,59000000,Department of Health and Human Services
Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,164000000,Department of Health and Human Services
Family Violence Prevention and Services/State Domestic Violence Coalitions ,20000000,Department of Health and Human Services
Flexible Funding Model: Infrastructure Development and Maintenance for State Manufactured Food Regulatory Programs,0,Department of Health and Human Services
Food and Drug Administration Research,0,Department of Health and Human Services
Foster Care Title IV-E ,5100000000,Department of Health and Human Services
Geriatric Academic Career Awards Dept. of Health and Human Services ,2000000,Department of Health and Human Services
Global AIDS ,1700000000,Department of Health and Human Services
"This program, known as PEPFAR, was paused under a separate freeze on foreign aid last week, and many foreign health workers had already stopped distributing H.I.V. medications to their patients. On Tuesday, the Trump administration issued a waiver to allow lifesaving medicines and medical services. Family Connection Grants",111000,Department of Health and Human Services
Family Planning Personnel Training ,5000000,Department of Health and Human Services
Family Planning Service Delivery Improvement Research ,3000000,Department of Health and Human Services
Family Planning Services ,255000000,Department of Health and Human Services
"Global Tuberculosis: Developing, Evaluating, Implementing Evidence-Based and Innovative Approaches to Find, Cure and Prevent Tuberculosis Globally ",6000000,Department of Health and Human Services
Good Health and Wellness in Indian Country ,21000000,Department of Health and Human Services
Graduate Psychology Education ,25000000,Department of Health and Human Services
Grants for Capital Development in Health Centers,0,Department of Health and Human Services
"Grants for Education, Prevention and Early Detection of Radiogenic Cancers and Diseases ",2000000,Department of Health and Human Services
Grants for New and Expanded Services under the Health Center Program ,312000000,Department of Health and Human Services
Grants to Increase Organ Donation ,2000000,Department of Health and Human Services
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease ,191000000,Department of Health and Human Services
Grants to States for Access and Visitation Programs ,10000000,Department of Health and Human Services
Grants to States for Loan Repayment,0,Department of Health and Human Services
Grants to States for Operation of State Offces of Rural Health ,11000000,Department of Health and Human Services
Grants to States to Support Oral Health Workforce Activities ,14000000,Department of Health and Human Services
Guardianship Assistance ,322000000,Department of Health and Human Services
Head Start ,12100000000,Department of Health and Human Services
"A memo from the budget offce said that Head Start preschool programs were exempt from the funding freeze. But providers reported Tuesday that their payment portal had been shut down, and some planned to close their doors. Health Equity Data Access Program",0,Department of Health and Human Services
Health Professions Pre-Graduate Scholarship Program for Indians ,5000000,Department of Health and Human Services
Health Professions Preparatory Scholarship Program for Indians ,932000,Department of Health and Human Services
Health Professions Recruitment Program for Indians ,4000000,Department of Health and Human Services
Health Professions Scholarship Program ,19000000,Department of Health and Human Services
"Health Professions Student Loans, Including Primary Care Loans and Loans for Disadvantaged Students ",19000000,Department of Health and Human Services
Health Program for Toxic Substances and Disease Registry ,5000000,Department of Health and Human Services
"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the Presidents Emergency Plan for AIDS Relief ",35000000,Department of Health and Human Services
Healthy Marriage Promotion and Responsible Fatherhood Grants ,112000000,Department of Health and Human Services
Healthy Start Initiative ,132000000,Department of Health and Human Services
HIV Care Formula Grants ,1400000000,Department of Health and Human Services
"HIV Demonstration, Research, Public and Professional Education Projects ",8000000,Department of Health and Human Services
HIV Emergency Relief Project Grants ,654000000,Department of Health and Human Services
Head Start Disaster Recovery ,131000000,Department of Health and Human Services
Health Care and Public Health (HPH) Sector Information Sharing and Analysis Organization (ISAO),0,Department of Health and Human Services
Health Careers Opportunity Program (HCOP) ,14000000,Department of Health and Human Services
"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care) ",5300000000,Department of Health and Human Services
HIV Prevention Activities Health Department Based ,487000000,Department of Health and Human Services
HIV Prevention Activities Non-Governmental Organization Based ,90000000,Department of Health and Human Services
HIV-Related Training and Technical Assistance ,34000000,Department of Health and Human Services
Hospital Preparedness Program (HPP) Ebola Preparedness and Response Activities,0,Department of Health and Human Services
HRSA COVID-19 Claims Reimbursement for the Uninsured Program and the COVID-19 Coverage Assistance Fund,0,Department of Health and Human Services
Human Genome Research ,453000000,Department of Health and Human Services
Human Immunodefciency Virus (HIV)/Acquired Immunodefciency Virus Syndrome (AIDS) Surveillance ,28000000,Department of Health and Human Services
Immunization Cooperative Agreements ,457000000,Department of Health and Human Services
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects ",126000000,Department of Health and Human Services
"Improving Epilepsy Programs, Services, and Outcomes through National Partnerships ",6000000,Department of Health and Human Services
"Improving Student Health and Academic Achievement through Nutrition, Physical Activity and the Management of Chronic Conditions in Schools ",8000000,Department of Health and Human Services
Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality ,3000000,Department of Health and Human Services
Indian Health Service Behavioral Health Programs ,39000000,Department of Health and Human Services
Indian Health Service Community Health Aide Program ,3000000,Department of Health and Human Services
Indian Health Service Domestic Violence Prevention Programs ,8000000,Department of Health and Human Services
Indian Health Service Educational Loan Repayment ,50000000,Department of Health and Human Services
Indian Health Service Sanitation Facilities Construction Program ,745000,Department of Health and Human Services
"Indian Health Service, Health Management Development Program ",2000000,Department of Health and Human Services
Indian Self-Determination ,883000000,Department of Health and Human Services
Injury Prevention and Control Research and State and Community Based Programs ,457000000,Department of Health and Human Services
Injury Prevention Program for American Indians and Alaskan Natives Cooperative Agreements ,2000000,Department of Health and Human Services
Innovation In Behavioral Health,0,Department of Health and Human Services
Innovations in Applied Public Health Research ,2000000,Department of Health and Human Services
Integrated Care for Kids Model ,16000000,Department of Health and Human Services
Integrating the Healthcare Enterprise FHIR Cooperative Agreement Program,0,Department of Health and Human Services
"International Research, and Research Training ",135000000,Department of Health and Human Services
Intramural Research Training Award ,173000000,Department of Health and Human Services
John H. Chafee Foster Care Program for Successful Transition to Adulthood ,145000000,Department of Health and Human Services
"Laboratory Leadership, Workforce Training and Management Development, Improving Public Health Laboratory Infrastructure ",1000000,Department of Health and Human Services
Leading Edge Acceleration Projects (LEAP) in Health Information Technology,0,Department of Health and Human Services
Lifespan Respite Care Program,0,Department of Health and Human Services
Loan Repayment Program for General Research,0,Department of Health and Human Services
Low-Income Home Energy Assistance ,4099999999,Department of Health and Human Services
Low-Income Household Water Assistance Program,0,Department of Health and Human Services
Lung Diseases Research ,727000000,Department of Health and Human Services
Market Transparency Project for Health IT Interoperability Services Cooperative Agreement Program,0,Department of Health and Human Services
MaryLee Allen Promoting Safe and Stable Families Program ,384000000,Department of Health and Human Services
Maternal and Child Health Federal Consolidated Programs ,274000000,Department of Health and Human Services
Maternal and Child Health Services Block Grant to the States ,571000000,Department of Health and Human Services
Maternal Opioid Misuse Model ,9000000,Department of Health and Human Services
"Maternal, Infant and Early Childhood Home Visiting Grant ",451000000,Department of Health and Human Services
Medical Assistance Program ,689600000000,Department of Health and Human Services
Offcials with the White House budget offce said that Medicaid funding was not affected. But states reported that the programs payment portal was not working Tuesday. A red banner on the site warned of delays because of executive orders regarding potentially unallowable grant payments. Medical Library Assistance,78000000,Department of Health and Human Services
